Year,SignificantQuantities,SGBudgJan2023USD,ReprocessingPlants,EnrichmentPlants,ENR,TotalFacilities,Facility+LOF,PDI,InspectionsPerformed,AP,IS,RDTstate,RDTdatastreams,Xtrab.USD2023
1970,447,9262994.75,0,0,0,82,156,NA,184,0,0,0,0,NA
1971,719,13721057.18,0,0,0,85,170,NA,234,0,0,0,0,NA
1972,908,17196995.53,0,0,0,149,243,NA,451,0,0,0,0,NA
1973,1477,16823455.84,0,0,0,154,254,NA,434,0,0,0,0,NA
1974,1859,19835143.93,0,0,0,172,288,NA,474,0,0,0,0,NA
1975,2433,26745436.84,0,0,0,175,315,NA,515,0,0,0,0,NA
1976,3458,33119455.5,3,0,3,229,332,NA,565,0,0,0,0,NA
1977,6364,38304358.62,5,3,8,369,559,NA,706,0,0,0,0,NA
1978,11263,48127924.2,5,3,8,373,607,NA,903,0,0,0,0,NA
1979,14116,61054863.2,5,4,9,393,700,NA,903,0,0,0,0,NA
1980,17045,67238717.5,7,4,11,416,774,5061,1100,0,0,0,0,NA
1981,16963,79576037.3,6,4,10,422,844,6307,1400,0,0,0,0,NA
1982,18578,89413820.7,6,4,10,440,844,6276,1700,0,0,0,0,NA
1983,20800,94654573.7,6,4,10,455,881,6727,1826,0,0,0,0,NA
1984,23100,95964530.8,6,4,10,460,876,6599,1820,0,0,0,0,NA
1985,26700,99508923.6,6,5,11,474,889,7750,1981,0,0,0,0,NA
1986,31710,90268117.4,6,6,12,485,901,8292,2054,0,0,0,0,7223104.8
1987,34807,89082145.1,6,6,12,496,904,9566,2133,0,0,0,0,3947179.57
1988,47236,111065310.8,6,7,13,511,920,9379,2128,0,0,0,0,10016240.04
1989,52413,124514981,5,7,12,515,922,10132,2196,0,0,0,0,11861033.15
1990,57232,121163850,5,7,12,515,912,10381,2188,0,0,0,0,13452615.83
1991,61591,132397368.9,5,7,12,523,938,9442,2145,0,0,0,0,13645939.41
1992,65949,143082954.3,6,7,13,545,1048,8385,2047,0,0,0,0,14189888.73
1993,73012,134183285.2,6,8,14,552,1024,8153,2042,0,0,0,0,18216759.21
1994,79179,149507059.9,6,11,17,568,1076,9152,2349,0,0,0,0,14006380.22
1995,90291,141149770.3,6,11,17,607,1112,10167,2285,0,0,0,0,25122517
1996,94294,140955096.2,6,11,17,619,880,10831,2476,0,0,0,0,28260250
1997,100276,146062843.6,6,13,19,632,1109,10240,2499,0,0,0,0,23100960
1998,103883,144432120.7,6,14,20,636,1085,10060,2507,5,0,0,0,28959570
1999,106598,143651372.8,6,14,20,650,1093,10190,2495,8,0,1,10,24790460
2000,111554,140245394,6,13,19,649,1094,10264,2467,18,0,3,21,18376550
2001,117162,140498155.7,6,12,18,645,1099,10314,2415,24,1,7,30,25922370
2002,123344,145377766.8,6,12,18,650,1100,10084,2415,28,1,6,39,33236420
2003,129318,146439088.7,6,13,19,657,1114,9260,2363,38,3,8,44,24878690
2004,133922,160790905,7,13,20,657,1122,15609,2302,62,6,11,86,26321140
2005,140204,165370474,7,15,22,659,1122,15600,2145,71,9,15,84,22791510
2006,146980,157643910,8,14,22,659,1108,15980,2087,78,9,14,130,15397520
2007,151749,157933261,8,15,23,648,1129,15220,1509,86,20,16,146,24605670
2008,158670,161764379,8,16,24,686,1131,14121.5,2035,88,25,18,168,22164210
2009,165418.57,162297186,8,16,24,670,1125,14048,1983,94,36,18,193,24921980
2010,172180.291,165900472,8,16,24,674,1170,13558.5,2162,104,47,19,258,36227010
2011,177473,163250029,8,16,24,680,1212,11937,2026,114,49,21,271,23848230
2012,183767,167800934,8,16,24,692,1317,11859,1962,119,51,22,288,42800980
2013,188500,167691249,8,17,25,699,1264,11777,1969,122,53,23,279,25308890
2014,193467,166941707,8,17,25,704,1267,12734,2114,124,53,23,549,37776740
2015,200110,167644104,8,18,26,709,1286,13248,2118,127,54,24,820,40767570
2016,204073,167318572,8,18,26,709,1290,13275,2216,129,57,25,887,41100580
2017,208889,169038623,8,19,27,715,1298,13744,2102,132,65,29,932,34773540
2018,212804,169048025,8,19,27,721,1314,13611.5,2195,134,67,29,1102,27440640
2019,216448,169155026,8,19,27,717,1324,13139.5,2179,137,67,30,1708,27301970
2020,221432,170801659,8,19,27,717,1321,12766.5,2034,137,66,31,1611,34471040
2021,226116,162126657,11,19,30,718,1334,14648.5,2201,138,69,32,1640,29768090
2022,230754,164586700,11,20,31,722,1353,14066,2180,140,69,32,1782,29044650
